"id_produksi","id_produk","tanggal_produksi","jumlah_diproduksi","biaya_produksi","lokasi_produksi","status_produksi"
"PROD001","P101","1/1/2024","500","10000","Plant A","selesai"
"PROD002","P102","1/2/2024","400","8000","Plant B","proses"
"PROD003","P103","1/3/2024","300","6000","Plant C","selesai"
"PROD004","P104","1/4/2024","600","12000","Plant D","proses"
"PROD005","P105","1/5/2024","200","4000","Plant E","selesai"
"PROD006","P101","1/6/2024","500","10000","Plant A","selesai"
"PROD007","P102","1/7/2024","400","8000","Plant B","proses"
"PROD008","P103","1/8/2024","300","6000","Plant C","selesai"
"PROD009","P104","1/9/2024","600","12000","Plant D","proses"
"PROD010","P105","1/10/2024","200","4000","Plant E","selesai"
"PROD011","P101","1/11/2024","500","10000","Plant A","selesai"
"PROD012","P102","1/12/2024","400","8000","Plant B","proses"
"PROD013","P103","1/13/2024","300","6000","Plant C","selesai"
"PROD014","P104","1/14/2024","600","12000","Plant D","proses"
"PROD015","P105","1/15/2024","200","4000","Plant E","selesai"
"PROD016","P101","1/16/2024","500","10000","Plant A","selesai"
"PROD017","P102","1/17/2024","400","8000","Plant B","proses"
"PROD018","P103","1/18/2024","300","6000","Plant C","selesai"
"PROD019","P104","1/19/2024","600","12000","Plant D","proses"
"PROD020","P105","1/20/2024","200","4000","Plant E","selesai"
